Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
Nicky Jam,Donde Estan las Gatas,-11.937,0.246,109.933,https://www.youtube.com/watch?v=HNM7R7TmOsg
The Beatles,Here Comes The Sun - Remastered 2009,-10.484,0.0339,129.171,https://www.youtube.com/watch?v=KQetemT1sWc
The Beatles,Let It Be - Remastered 2009,-8.339,0.631,143.462,https://www.youtube.com/watch?v=QDYfEBY9NM4
The Beatles,Come Together - Remastered 2009,-11.913,0.0302,165.007,https://www.youtube.com/watch?v=oolpPmuK2I8
The Beatles,Yesterday - Remastered 2009,-11.83,0.879,96.529,https://www.youtube.com/watch?v=NrgmdOz227I
The Beatles,Twist And Shout - Remastered 2009,-9.198,0.641,124.631,https://www.youtube.com/watch?v=2RicaUqd9Hg
The Beatles,Blackbird - Remastered 2009,-14.361,0.754,93.699,https://www.youtube.com/watch?v=Man4Xw8Xypo
The Beatles,In My Life - Remastered 2009,-11.359,0.449,103.239,https://www.youtube.com/watch?v=YBcdt6DsLQA
The Beatles,Hey Jude - Remastered 2015,-7.7,0.0112,147.207,https://www.youtube.com/watch?v=mQER0A0ej0M
The Beatles,I Want To Hold Your Hand - Remastered 2015,-5.549,0.386,130.726,https://www.youtube.com/watch?v=v1HDt1tknTc
The Beatles,Something - Remastered 2009,-10.872,0.198,133.522,https://www.youtube.com/watch?v=UelDrZ1aFeY
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",-3.206,0.191,129.024,https://www.youtube.com/watch?v=EPo5wWmKEaI
Pitbull,Timber (feat. Ke$ha),-4.087,0.0295,129.992,https://www.youtube.com/watch?v=hHUbLv4ThOo
Pitbull,Time of Our Lives,-5.797,0.0921,124.022,https://www.youtube.com/watch?v=bTXJQ5ql5Fw
Pitbull,Feel This Moment (feat. Christina Aguilera),-3.632,0.039,135.956,https://www.youtube.com/watch?v=5jlI4uzZGjU
Pitbull,International Love (feat. Chris Brown),-3.035,0.0124,120.05,https://www.youtube.com/watch?v=CdXesX6mYUE
Pitbull,Fireball (feat. John Ryan),-5.38,0.0908,122.959,https://www.youtube.com/watch?v=HMqgVXSvwGo
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),-4.317,0.00879,125.013,https://www.youtube.com/watch?v=TGtWWb9emYI
Pitbull,Hotel Room Service,-8.401,0.00684,126.002,https://www.youtube.com/watch?v=2up_Eq6r6Ko
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),-3.428,0.0434,128.024,https://www.youtube.com/watch?v=LefQdEMJP1I
Pitbull,HOT,-6.422,0.0223,130.027,https://www.youtube.com/watch?v=B5PLNv4Nc4o
Sean Paul,No Lie,-2.862,0.0466,102.04,https://www.youtube.com/watch?v=GzU8KqOY8YA
Sean Paul,Temperature,-4.675,0.106,125.04,https://www.youtube.com/watch?v=dW2MmuA1nI4
Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),-5.112,0.109,89.999,https://www.youtube.com/watch?v=lZizLbWxr_E
Sean Paul,Get Busy,-4.143,0.614,100.216,https://www.youtube.com/watch?v=oPQ3o14ksaM
Sean Paul,She Doesn't Mind,-5.208,0.000624,120.015,https://www.youtube.com/watch?v=SbUBMklQSVU
Sean Paul,Give It Up to Me,-4.328,0.165,95.991,https://www.youtube.com/watch?v=bMoNV9oWs2E
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,-3.04,0.067,95.824,https://www.youtube.com/watch?v=bMoNV9oWs2E
Sean Paul,I'm Still in Love with You (feat. Sasha),-5.384,0.103,87.002,https://www.youtube.com/watch?v=AQ4TW5Z8eu0
Sean Paul,UP,-5.993,0.01,98.029,https://www.youtube.com/watch?v=8Fl6d_fSRNs
Sean Paul,Contra La Pared,-7.14,0.0156,94.052,https://www.youtube.com/watch?v=-gCe4WrmOIk
Elvis Presley,Can't Help Falling in Love,-14.062,0.941,100.307,https://www.youtube.com/watch?v=vGJTaP6anOU
Elvis Presley,Blue Christmas,-16.661,0.9,94.518,https://www.youtube.com/watch?v=3KK6sMo8NBY
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),-16.982,0.968,79.576,https://www.youtube.com/watch?v=BO_g0BgWiLI
Elvis Presley,Suspicious Minds,-10.889,0.0422,116.557,https://www.youtube.com/watch?v=WrMGGouem3c
Elvis Presley,Burning Love,-11.206,0.0993,143.549,https://www.youtube.com/watch?v=zWDcot2YezA
Elvis Presley,Always On My Mind,-14.342,0.746,181.183,https://www.youtube.com/watch?v=wTRSlZEq_l0
Elvis Presley,If I Can Dream,-7.744,0.00708,93.914,https://www.youtube.com/watch?v=u-pP_dCenJA
Elvis Presley,Jailhouse Rock,-10.014,0.332,166.885,https://www.youtube.com/watch?v=gj0Rz-uP4Mk
Elvis Presley,In the Ghetto,-16.688,0.716,88.916,https://www.youtube.com/watch?v=6am8V5KNJ4A
Elvis Presley,(You're The) Devil in Disguise,-7.633,0.573,122.903,https://www.youtube.com/watch?v=OhW6t4rEJwU
2Pac,Hit 'Em Up - Single Version,-3.967,0.0394,95.19,https://www.youtube.com/watch?v=41qC3w3UUkU
2Pac,Ambitionz Az A Ridah,-6.566,0.00239,87.277,https://www.youtube.com/watch?v=qL7blpZ2GSk
2Pac,California Love - Original Version,-3.052,0.0304,91.519,https://www.youtube.com/watch?v=omfz62qu_Bc
2Pac,All Eyez On Me (ft. Big Syke),-5.968,0.0293,93.279,https://www.youtube.com/watch?v=XuoC6M9A0iQ
2Pac,Do For Love,-3.585,0.0578,95.0,https://www.youtube.com/watch?v=zupm3f0QrQs
2Pac,Changes,-6.289,0.0453,111.113,https://www.youtube.com/watch?v=0_5XeetZf68
2Pac,Dear Mama,-7.123,0.371,84.115,https://www.youtube.com/watch?v=Mb1ZvUDvLDY
2Pac,Keep Ya Head Up,-7.013,0.144,172.329,https://www.youtube.com/watch?v=SHVzWMFMH6Y
2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),-4.78,0.0248,99.258,https://www.youtube.com/watch?v=5V7u672xw4g
2Pac,Can't C Me,-2.238,0.0442,95.44,https://www.youtube.com/watch?v=Pz5F0Ju97r0
Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),-3.296,0.0185,120.048,https://www.youtube.com/watch?v=BGNkkVrJZks
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",-6.685,0.0897,94.505,https://www.youtube.com/watch?v=Wa5B22KAkEk
